state,district,market,avg_modal_price,market_entries
Bihar,Patna,"Patna (Musallahpur)",44409.68,31
Meghalaya,"East Khasi Hills",Sohra,26908.35,37
Kerala,Thiruvananthapuram,Pothencode,24425.29,919
Odisha,Bargarh,Sohela,14000.0,4
Odisha,Bargarh,Padampur,13388.89,9
Odisha,Rayagada,Rayagada(Muniguda),11750.0,2
Kerala,Thiruvananthapuram,Parassala,10083.33,42
Kerala,Kollam,Sasthamkotta,9832.35,34
Karnataka,Tumkur,Madhugiri,9166.67,3
Odisha,Gajapati,Kasinagar,9000.0,1
